match_id,group_id,round,venue_id,slot_id,T_norm,B_norm,U,H,C_norm,D,R,T_raw,B_raw,C_raw,per_match
GA01,A,1,V15,S031,0.13820102849413657,0.2296929363924265,0.4401,0.5667,0.37373737373737376,0.4340433936932697,0.45426520146520144,3044640.0,2.8570527930000003,1525000.0,0.1362058557055139
GA02,A,1,V16,S034,0.28203708193499816,0.291896083123936,0.4948,0.6524,0.46464646464646464,0.5176089455893774,0.5282733944954129,3608240.0,3.2949996870000007,1615000.0,0.18840801212194344
GA03,A,2,V04,S064,0.42814960378730843,0.3973190109257525,0.6034,0.7276,0.1717171717171717,0.4975247758776422,0.5296437561107529,4180760.0,4.037239368000001,1325000.0,0.2998872953850265
GA04,A,2,V07,S081,0.47925785088111067,0.3425311474438072,0.6366,0.6887000000000001,0.7575757575757576,0.5492374724942573,0.4069646924829158,4381020.0,3.6515004480000006,1905000.0,0.2544759782012542
GA05,A,3,V04,S181,0.40431814411678385,0.6376135363875592,0.4519,0.6004999999999999,0.08585858585858586,0.49875499048936917,0.4202278227344275,4087380.0,5.72905476,1240000.0,0.3297272710137659
GA06,A,3,V10,S151,0.5208212640524711,0.6700540696010178,0.4822,0.6182,0.22727272727272727,0.43350686720083487,0.44496697819314635,4543880.0,5.957455275200001,1380000.0,0.3655428553997697
GB01,B,1,V02,S031,0.33895900059974227,0.2976233692549034,0.5329,0.6928,0.46464646464646464,0.2068696067503418,0.48808949877045454,3831280.0,3.3353231642500005,1615000.0,0.2371844228686021
GB02,B,1,V02,S061,0.21149718631566858,0.24764989896511916,0.4292,0.5832,0.3686868686868687,0.45670334448537553,0.392993007276076,3331840.0,2.983480416000001,1520000.0,0.16030286742022812
GB03,B,2,V08,S094,0.5083759745811375,0.39272658373404684,0.5765,0.6907,0.48484848484848486,0.4959176328275826,0.387187082252665,4495115.0,4.004905968,1635000.0,0.29183104320288
GB04,B,2,V10,S114,0.18201538913062895,0.3751125456567619,0.3929,0.5881000000000001,0.22727272727272727,0.4306880515868934,0.4031800623052959,3216320.0,3.8808927360000003,1380000.0,0.19256979941173516
GB05,B,3,V08,S141,0.6457462962726658,0.824253177173234,0.4957,0.6833,0.48484848484848486,0.4959176328275826,0.3818433440352822,5033380.0,7.043108072,1635000.0,0.421409021514254
GB06,B,3,V01,S204,0.680304209680095,0.6659132182717382,0.6061,0.6904,0.5151515151515151,0.4259287270369448,0.48354507042253525,5168790.0,5.928301236000001,1665000.0,0.40614042206634954
GC01,C,1,V08,S021,0.39026631107481463,0.4037337053627297,0.5399,0.7743000000000001,0.5707070707070707,0.42279837302958234,0.44776830090376246,4032320.0,4.08240260575,1720000.0,0.2637518203045991
GC02,C,1,V02,S014,0.07370449296259905,0.20857924811755407,0.4576,0.5843,0.3686868686868687,0.20144014252463152,0.3622589230597974,2791920.0,2.7083999565,1520000.0,0.13955481887597268
GC03,C,2,V10,S061,0.13784118315107124,0.3159746619177036,0.2624,0.4816,0.13131313131313133,0.4083952135377674,0.32629657320872274,3043230.0,3.4645271040000005,1285000.0,0.14882938288615055
GC04,C,2,V05,S051,0.5011994844768844,0.44567457203752864,0.4856,0.6693000000000001,0.5252525252525253,0.3745351350320346,0.5153240099695375,4466995.0,4.37769108,1675000.0,0.28763789225737735
GC05,C,3,V06,S131,0.42318322763408067,0.8327177907354228,0.39,0.6177,0.35858585858585856,0.40324259083714287,0.4385160175879397,4161300.0,7.1027039512,1510000.0,0.35979076384338954
GC06,C,3,V06,S141,0.30182347161432743,0.6869741324942817,0.3271,0.5218,0.26262626262626265,0.40324259083714287,0.32154444095477386,3685770.0,6.076582512,1415000.0,0.2863455410202603
GD01,D,1,V04,S034,0.2872433549836028,0.318980458876675,0.5773,0.7145,0.1717171717171717,0.26939830690687205,0.5380687940754301,3628640.0,3.48568969,1325000.0,0.25548294648119746
GD02,D,1,V13,S031,0.3262189441984509,0.32916163936213594,0.5908,0.7531,0.7474747474747475,0.6917665349160219,0.4570087591240876,3781360.0,3.5573712142500007,1895000.0,0.20127315828308184
GD03,D,2,V03,S114,0.6333826738295456,0.4200118444789662,0.5241,0.6851,0.8282828282828283,0.395225516122913,0.46746702127659573,4984935.0,4.19701032,1975000.0,0.29784653633483393
GD04,D,2,V08,S121,0.7209067592226319,0.47951025024266714,0.6447,0.7827,0.5707070707070707,0.49755706958901746,0.4672340413377055,5327885.0,4.61591424,1720000.0,0.3759043301850197
GD05,D,3,V08,S164,0.7867852539972182,0.8119061549732182,0.5827,0.7464,0.48484848484848486,0.4097041939174238,0.3990639603304274,5586020.0,6.9561777428000005,1635000.0,0.4782881214672935
GD06,D,3,V10,S181,0.755203082930315,0.7483629281754922,0.5962,0.7425,0.32323232323232326,0.38892119110258294,0.5584504672897197,5462270.0,6.5087958936,1475000.0,0.4641504148490963
GE01,E,1,V10,S014,0.018803833246136766,0.22741813967865757,0.2773,0.496,0.13131313131313133,0.3507981561849516,0.3272834890965732,2576800.0,2.8410368805000004,1285000.0,0.10459823222933855
GE02,E,1,V09,S024,0.3904908954024015,0.33972412876456626,0.5782,0.7506999999999999,0.6565656565656566,0.2920660494502894,0.5135217008661819,4033200.0,3.6317373785,1805000.0,0.25084301202032183
GE03,E,2,V13,S051,0.3425408654152896,0.4731982514152987,0.4519,0.6884,0.6565656565656566,0.5857763495084178,0.3606048661800486,3845315.0,4.57147404,1805000.0,0.23260598756960335
GE04,E,2,V05,S071,0.2088060025265737,0.30868633705032117,0.3614,0.5427000000000001,0.43434343434343436,0.39639797259199056,0.39856041724360747,3321295.0,3.4132129920000005,1585000.0,0.15941533537556535
GE05,E,3,V08,S134,0.6870978855895976,0.9065276292812565,0.5189,0.7418,0.48484848484848486,0.4942781960661478,0.38689230259474655,5195410.0,7.622368811199999,1635000.0,0.46155833410141456
GE06,E,3,V10,S104,0.412711983360343,0.6970888113646788,0.4178,0.5805,0.22727272727272727,0.4278692359729519,0.423372585669782,4120270.0,6.1477958256,1380000.0,0.3331026305545393
GF01,F,1,V14,S054,0.3498411321091786,0.3655000622369944,0.5711,0.7886,0.6262626262626263,0.4969837365205152,0.5005391304347826,3873920.0,3.8132151750000003,1775000.0,0.23844886171170576
GF02,F,1,V15,S044,0.2110276009034415,0.2610809139956834,0.4965,0.6417,0.37373737373737376,0.3837758479351343,0.47778388278388273,3330000.0,3.0780426950000006,1525000.0,0.18079747415897662
GF03,F,2,V01,S104,0.47838503451707987,0.4764134515438141,0.5102,0.7153,0.5151515151515151,0.4259287270369448,0.47970422535211266,4377600.0,4.594110948000001,1665000.0,0.29654432039643164
GF04,F,2,V01,S094,0.3706164584582796,0.4135623924113068,0.4401,0.6426000000000001,0.42424242424242425,0.4259287270369448,0.39425586854460093,3955325.0,4.151602368000001,1575000.0,0.24679507314363244
GF05,F,3,V10,S131,0.305781770388046,0.7754362117054684,0.3755,0.5847,0.22727272727272727,0.4306880515868934,0.402013707165109,3701280.0,6.6994078007999995,1380000.0,0.32068896544387354
GF06,F,3,V11,S134,0.7909400640575752,0.9093286992692565,0.5881,0.7781999999999999,1.0,0.5137056177441053,0.4502,5602300.0,7.6420899984,2145000.0,0.45713479758962067
GG01,G,1,V02,S021,0.16609031862901477,0.3315746183033288,0.417,0.6213000000000001,0.3686868686868687,0.3982933894460059,0.3828651952599249,3153920.0,3.57436001125,1520000.0,0.176406139666519
GG02,G,1,V16,S024,0.15492235252083147,0.24580519876534232,0.4408,0.5924,0.3787878787878788,0.6853622697321375,0.4273351681957186,3110160.0,2.9704926370000004,1530000.0,0.13017009190943477
GG03,G,2,V01,S051,0.43287735909247516,0.443392803252472,0.4543,0.6511,0.5151515151515151,0.4210201075006255,0.47177323943661975,4199285.0,4.36162608,1665000.0,0.26276808227160703
GG04,G,2,V01,S071,0.4160513991858818,0.3099906497765368,0.4797,0.6186,0.42424242424242425,0.4210201075006255,0.4021741784037559,4133355.0,3.4223961240000005,1575000.0,0.2358277436400167
GG05,G,3,V10,S121,0.3426416731532405,0.6994747774302279,0.2941,0.5097,0.22727272727272727,0.4306880515868934,0.409376323987539,3845710.0,6.164594436,1380000.0,0.2909090778934649
GG06,G,3,V01,S184,0.7567190271415264,0.7838556459332393,0.607,0.72,0.5151515151515151,0.4259287270369448,0.49504647887323944,5468210.0,6.758685590799999,1665000.0,0.4573646770090543
GH01,H,1,V02,S044,0.13750685875432261,0.2584499712040468,0.2743,0.523,0.3686868686868687,0.29708959502782184,0.3764897740267363,3041920.0,3.05951930375,1520000.0,0.12708339538162589
GH02,H,1,V04,S011,0.08440287365855526,0.25691407037984765,0.3893,0.5943999999999999,0.08585858585858586,0.5856961591146944,0.4094000887576016,2833840.0,3.04870565475,1240000.0,0.1389208144525812
GH03,H,2,V06,S104,0.19530159378309747,0.4028652762714962,0.3177,0.5517,0.35858585858585856,0.3902347653262673,0.4250659547738693,3268380.0,4.076288352,1510000.0,0.17936077706298625
GH04,H,2,V06,S081,0.14494493855832175,0.37797688260934037,0.3355,0.5619,0.26262626262626265,0.3902347653262673,0.3169119032663317,3071065.0,3.90105936,1415000.0,0.17624244457832253
GH05,H,3,V08,S131,1.0,1.0,0.5497,0.7894,0.5707070707070707,0.4942781960661478,0.47509711732915916,6421470.0,8.280469511599998,1720000.0,0.5621350759256376
GH06,H,3,V04,S151,0.6595020863373614,0.6481039812308922,0.5765,0.6646,0.1717171717171717,0.4962945612659153,0.5436230783632543,5087280.0,5.802913688,1325000.0,0.40961360073154535
GI01,I,1,V02,S054,0.19005959140964948,0.3152476034582594,0.483,0.6923999999999999,0.3686868686868687,0.3140875897562304,0.38821144135118446,3247840.0,3.4594081830000003,1520000.0,0.20100726028504426
GI02,I,1,V14,S034,0.21829596641443463,0.2699604425757178,0.4551,0.6056,0.5303030303030303,0.5313041453760958,0.405859420289855,3358480.0,3.140559821000001,1680000.0,0.1550391928353748
GI03,I,2,V04,S081,0.26561180088557684,0.35781143586999886,0.2828,0.5074000000000001,0.08585858585858586,0.4962945612659153,0.42113897498838526,3543880.0,3.7590827040000008,1240000.0,0.1905609440320576
GI04,I,2,V03,S094,0.4118085418607322,0.42656699676920196,0.5827,0.7415999999999999,0.7272727272727273,0.3825500538590172,0.38830000000000003,4116730.0,4.243162464,1875000.0,0.2706665627055342
GI05,I,3,V01,S121,0.5439534497939184,0.7954535247369822,0.4231,0.6479,0.5151515151515151,0.4259287270369448,0.4630225352112676,4634520.0,6.840341508,1665000.0,0.3735587101195671
GI06,I,3,V01,S134,0.40005104189263335,0.7198861523996316,0.3979,0.5846,0.42424242424242425,0.4259287270369448,0.37469671361502344,4070660.0,6.308302572,1575000.0,0.3193870251964852
GJ01,J,1,V12,S024,0.22376765730473286,0.3009476274918794,0.364,0.595,0.5404040404040404,0.38711594495334356,0.37545155851868883,3379920.0,3.358727905750001,1690000.0,0.15993031947934822
GJ02,J,1,V06,S021,0.17219492898796687,0.31501824766588143,0.3796,0.6061,0.35858585858585856,0.5240631813827508,0.4459477072864322,3177840.0,3.4577933827500003,1510000.0,0.15614409448834354
GJ03,J,2,V05,S141,0.49974479053683313,0.4816681771454288,0.5059,0.7118000000000001,0.5252525252525253,0.3912221321608286,0.5150747715314317,4461295.0,4.63110732,1675000.0,0.3024094997878482
GJ04,J,2,V08,S151,0.4311802161624153,0.3825591958768851,0.5259,0.6706,0.48484848484848486,0.4942781960661478,0.3762733795687991,4192635.0,3.933321552000001,1635000.0,0.260941565314564
GJ05,J,3,V05,S191,0.24873735118098178,0.6909449255915824,0.2833,0.5138,0.3434343434343434,0.40157381302315254,0.3179987076525431,3477760.0,6.1045392408,1495000.0,0.26049070650067113
GJ06,J,3,V07,S184,0.5764058851302206,0.839149667345859,0.4864,0.6970000000000001,0.7575757575757576,0.5504735531189212,0.3948861047835991,4761680.0,7.1479881616,1905000.0,0.3816142346032908
GK01,K,1,V02,S074,0.0,0.21570878680438246,0.3265,0.4996,0.2727272727272727,0.40867890164637416,0.2791527773561229,2503120.0,2.75859612,1425000.0,0.09127038067342269
GK02,K,1,V15,S064,0.22572766598185462,0.29951679789473434,0.4008,0.6174000000000001,0.37373737373737376,0.39169143818138685,0.48253113553113547,3387600.0,3.3486540202500006,1525000.0,0.17655247997621487
GK03,K,2,V04,S161,0.21152143121466943,0.3353713890623215,0.3667,0.5557,0.08585858585858586,0.4962945612659153,0.40721581965564824,3331935.0,3.60109152,1240000.0,0.18940026612572086
GK04,K,2,V12,S164,0.24752510623093904,0.3746279005234196,0.3568,0.56,0.5404040404040404,0.49607891760184347,0.3509199762438454,3473010.0,3.8774805480000007,1690000.0,0.17306360517438354
GK05,K,3,V09,S191,0.7223856980616842,0.8848112856747595,0.6061,0.7857999999999999,0.6565656565656566,0.5056381115907302,0.5045958590022697,5333680.0,7.4694729252,1805000.0,0.46319049123741646
GK06,K,3,V06,S204,0.5701455969987367,0.6479481730533222,0.5926,0.6618,0.35858585858585856,0.3902347653262673,0.4590679962311558,4737150.0,5.8018167063999995,1510000.0,0.38522742040406105
GL01,L,1,V11,S064,0.3406127579210637,0.3559946487047168,0.6043,0.7847,0.898989898989899,0.3490155607557676,0.38944363636363644,3837760.0,3.7462914492500006,2045000.0,0.23133882502980396
GL02,L,1,V02,S084,0.02360177115367438,0.1878446715008211,0.5373,0.6084,0.2727272727272727,0.3056071032561244,0.28441705374581294,2595600.0,2.5624162900000003,1425000.0,0.13970924946768082
GL03,L,2,V04,S144,0.3871999693748644,0.3562426936250847,0.3768,0.5997,0.08585858585858586,0.4975247758776422,0.45243643083494556,4020305.0,3.748037832,1240000.0,0.24255778733646768
GL04,L,2,V06,S114,0.13507726466497377,0.31552091589644665,0.3289,0.5019,0.26262626262626265,0.40324259083714287,0.3153140703517588,3032400.0,3.4613324640000003,1415000.0,0.15032489995758375
GL05,L,3,V06,S191,0.2081437339696556,0.6411213164570212,0.3,0.4963,0.26262626262626265,0.3902347653262673,0.3084437814070352,3318700.0,5.7537516036000005,1415000.0,0.24628197676744804
GL06,L,3,V05,S184,0.5028264448045734,0.7471988920890459,0.4133,0.608,0.43434343434343436,0.3912221321608286,0.4222629927074679,4473370.0,6.500600392000001,1585000.0,0.3562777905163733
