policy,C1,Q1,C2,life_med,mean_chargetime,slope_med,t_ch_model,life_model,slope_model
3_6C-80PER_3_6C,3.6,80.0,3.6,18109.211998108003,13.382016722426933,-1.1607988703155131e-05,13.560973079958712,7160.735274182122,2.79300926988735e-05
3_7C_31PER_5_9C_NEWSTRUCTURE,3.7,31.0,5.9,1106.1409723551058,10.847335686134734,-0.0001903338755931,10.237717621110033,1103.229013280689,0.00018128602274994287
4_8C_80PER_4_8C,4.8,80.0,4.8,3143.90874955506,13.103095505886401,-6.733893827926154e-05,10.22763974662538,8227.92922008365,2.4307452659147534e-05
4_8C_80PER_4_8C_NEWSTRUCTURE,4.8,80.0,4.8,15107.787436861272,11.157440477256417,-1.4087687198880595e-05,10.22763974662538,8227.92922008365,2.4307452659147534e-05
5C_67PER_4C_NEWSTRUCTURE,5.0,67.0,4.0,11780.955781995845,10.158266146895128,-1.7951603746619134e-05,10.21763974662538,10672.387152835297,1.8739949847758913e-05
5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10631.130861730306,10.155698951525862,-1.9904749645840437e-05,10.240847293795191,10592.53965307794,1.888121324538868e-05
5_6C_19PER_4_6C_NEWSTRUCTURE,5.6,19.0,4.6,7543.480764308361,10.248325419493163,-2.8058816543377426e-05,10.2198757714701,7698.69994186202,2.5978412135858316e-05
5_6C_36PER_4_3C_NEWSTRUCTURE,5.6,36.0,4.3,8826.307453815038,10.218896865903176,-2.415438793734143e-05,10.224317487489166,9779.013815352357,2.0451960062272765e-05
80PER_3_6C,3.6,80.0,3.6,8040.674863204034,14.080091772647199,-2.6271911483390124e-05,13.560973079958712,7160.735274182122,2.79300926988735e-05
