C1,Q1,C2,near_policy,t_ch,slope,life,w_t0.5,pareto
5.8,64.0,4.5,5_3C_54PER_4C_NEWSTRUCTURE,8.981662735131126,1.3467579353041939e-05,14850.478676023227,-0.20106010585233874,True
5.5,77.0,4.25,5C_67PER_4C_NEWSTRUCTURE,9.051169158390085,1.274779811021603e-05,15688.983953999152,-0.19287941046801443,True
5.5,77.0,4.0,5C_67PER_4C_NEWSTRUCTURE,9.077639746625378,1.1349627126146702e-05,17621.7242890077,-0.19322154353588503,True
5.5,77.0,3.75,5C_67PER_4C_NEWSTRUCTURE,9.10763974662538,1.0104806711626067e-05,19792.560680046496,-0.19256413416060386,True
5.5,77.0,3.5,5C_67PER_4C_NEWSTRUCTURE,9.141925460911093,8.996517466560124e-06,22230.824398818324,-0.19084581361363387,True
