policy,life_med,life_min,life_max
3_6C-80PER_3_6C,18109.211998108003,2737.476470424192,25820.387984620203
4_8C_80PER_4_8C_NEWSTRUCTURE,15107.787436861274,7446.878233971215,20801.007834843193
5C_67PER_4C_NEWSTRUCTURE,11780.955781995845,8061.975657145979,15328.850716753921
5_3C_54PER_4C_NEWSTRUCTURE,10631.130861730306,6561.554235387772,18945.368663826812
5_6C_36PER_4_3C_NEWSTRUCTURE,8826.307453815038,6112.520352349453,23654.916527309695
80PER_3_6C,8040.674863204034,1305.769997386276,14406.62260592125
5_6C_19PER_4_6C_NEWSTRUCTURE,7543.480764308361,6220.811608014024,16417.529175166066
4_8C_80PER_4_8C,3143.9087495550602,2361.136214516887,4939.316854963476
3_7C_31PER_5_9C_NEWSTRUCTURE,1106.1409723551058,1003.7385838126879,1409.6457841377273
